PRICE,BEDS,BATH,PROPERTYSQ,LATITUDE,LONGITUDE,LOG-PRICE,LOG-PROPER,SUBLOCALIT,TYPE,BOROUGH,TYPE-GROUP,RESIDUALS,Y-HAT,geometry,RESIDUALS_SAR
205000,1,1.0,2184.207862,40.8801731,-73.91173,12.230765258120543,7.689008507244378,The Bronx,Co-op for sale,BRONX,CONDO_COOP,-0.731684318509872,12.962449576630416,"POLYGON ((-73.91373690395575 40.88028148182491, -73.91229219307907 40.88164591582964, -73.91205532687502 40.88160778589075, -73.91032309457577 40.879365077952194, -73.90995830768637 40.878692430517624, -73.91346544096034 40.87813995720392, -73.91384039433592 40.87948010666644, -73.91373690395575 40.88028148182491))",-1.1440841531425132
949000,7,6.0,3733.0,40.8282987,-73.91272,13.763164077592064,8.224967478914584,Bronx County,Multi-family home for sale,BRONX,MULTI_FAMILY,-0.473672870572885,14.23683694816495,"POLYGON ((-73.91484133749913 40.82771760043698, -73.91327366064132 40.83148322207726, -73.90770958550304 40.83015592400361, -73.9080952450269 40.82608528114516, -73.91343676907101 40.82521521922798, -73.91484133749913 40.82771760043698))",-0.8342839671776509
535000,3,3.0,1328.0,40.8355073,-73.9119966,13.190022025878145,7.19142933003638,Bronx County,House for sale,BRONX,HOUSE,-0.213798252248601,13.403820278126746,"POLYGON ((-73.91497602463153 40.84143878120558, -73.91309535735871 40.842345423642854, -73.91019778652179 40.84134500515788, -73.90637227785504 40.839094007466635, -73.90494220590159 40.83786490327587, -73.9130385585869 40.83416547376422, -73.9155529739818 40.84046865178159, -73.91497602463153 40.84143878120558))",-0.3383070818446197
595000,1,1.0,556.0,40.6869771,-73.9126141,13.296316684527769,6.320768294250582,Brooklyn,Condo for sale,BROOKLYN,CONDO_COOP,0.576736839262347,12.719579845265422,"POLYGON ((-73.91480960160501 40.68766698055296, -73.9133655081927 40.689191326757474, -73.91065957117999 40.68855809087017, -73.910021073087 40.68766160998365, -73.91189476520255 40.685809014896016, -73.91463238822134 40.68660905226321, -73.91506591906594 40.68694449498085, -73.91480960160501 40.68766698055296))",0.3823786290986672
805000,6,2.0,2042.0,40.8527111,-73.9116009,13.5985975564007,7.621684998724612,Bronx County,Multi-family home for sale,BRONX,MULTI_FAMILY,0.291392872765396,13.307204683635304,"POLYGON ((-73.91365012557924 40.85974465753788, -73.91050770538742 40.85885379830258, -73.9079899567601 40.85796926883707, -73.90612797011215 40.85359764993049, -73.90613401346296 40.853428010014085, -73.90730491344917 40.85152837209121, -73.90744058548471 40.85137967426277, -73.91285688210176 40.84794628880192, -73.91310336009839 40.8482356503059, -73.91375074580678 40.858827275571265, -73.91365012557924 40.85974465753788))",-0.1323730283105945
239000,1,1.0,750.0,40.8836826,-73.9144424,12.384218830913648,6.620073206530356,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.033481285632611,12.350737545281037,"POLYGON ((-73.9155046514099 40.88359070685512, -73.91579917637908 40.884656237664665, -73.91420435058939 40.88461729809141, -73.91317130012852 40.88345521363365, -73.91407545782968 40.88299257447068, -73.9155046514099 40.88359070685512))",-0.3238148994409094
2950000,6,5.0,5436.0,40.6037688,-73.9113665,14.897315728316002,8.600798775271034,Kings County,House for sale,BROOKLYN,HOUSE,-0.145355855620746,15.042671583936748,"POLYGON ((-73.91732860358285 40.597104081985904, -73.91248699184841 40.60524176388905, -73.90709227268835 40.60209613062093, -73.90442385905422 40.59699411916513, -73.90165912537695 40.587139075960486, -73.91700990113397 40.596815285998055, -73.91732860358285 40.597104081985904))",-0.031521511232634136
2175000,5,2.373860857968437,3317.0,40.6920744,-73.912766,14.592539222504922,8.106816038947052,Kings County,Townhouse for sale,BROOKLYN,HOUSE,0.216231990231684,14.376307232273238,"POLYGON ((-73.9141399213545 40.69181258530845, -73.91146936938017 40.6932945585007, -73.91057785297554 40.69288141965319, -73.91364287741065 40.69025368729377, -73.91365911704477 40.69027424350975, -73.9141399213545 40.69181258530845))",0.21624819234307996
1299999,8,4.0,3448.0,40.6259736,-73.9141206,14.0778740532007,8.145549631783584,Kings County,Multi-family home for sale,BROOKLYN,MULTI_FAMILY,-0.361440371003182,14.439314424203882,"POLYGON ((-73.91246138984617 40.628706764298, -73.91245283486084 40.62825851188929, -73.91404895217465 40.62517424279426, -73.91715359647705 40.62441142993626, -73.91422529483195 40.627439619097224, -73.91246138984617 40.628706764298))",-0.2713655205602743
1095000,3,2.0,2184.207862,40.757489,-73.9116062,13.906264921232738,7.689008507244378,Queens County,Multi-family home for sale,QUEENS,MULTI_FAMILY,0.357873160581674,13.548391760651064,"POLYGON ((-73.91166548782962 40.76274138680502, -73.91043179807848 40.7623800194803, -73.90992000169015 40.76145292903002, -73.90904537920717 40.75826693217164, -73.90958602495782 40.75606459145801, -73.91071917350116 40.754683705927775, -73.91306010827624 40.75663358946748, -73.91172473435157 40.76271108831862, -73.91166548782962 40.76274138680502))",0.11929124869758523
599000,5,2.0,2268.0,40.6835248,-73.9141078,13.303016877097589,7.726653664847642,Kings County,Multi-family home for sale,BROOKLYN,MULTI_FAMILY,-0.604380883038202,13.90739776013579,"POLYGON ((-73.9137150528215 40.68425289519765, -73.91353280683558 40.68431858239466, -73.91202851204537 40.68344674580642, -73.9119593110053 40.6832963248565, -73.9126719872049 40.681951680703335, -73.91590906246296 40.682717780199305, -73.91595873409322 40.68286486321807, -73.9137150528215 40.68425289519765))",-0.5287449958765248
1395000,3,2.373860857968437,2184.207862,40.9007702,-73.9110778,14.148404973237604,7.689008507244378,Bronx County,Land for sale,BRONX,OTHER,0.937845663762159,13.210559309475444,"POLYGON ((-73.93417499761551 40.90282492885562, -73.91099858028163 40.903254873874765, -73.90886828531274 40.90274035424284, -73.90734210000758 40.90098532757126, -73.90761983822127 40.90029526144026, -73.9170194582245 40.89829365951075, -73.92102739410119 40.89829268792919, -73.92161598739774 40.89840873713289, -73.93130657883266 40.90165451537947, -73.93417499761551 40.90282492885562))",0.245634271672432
309900,2,1.0,900.0,40.8901764,-73.9146261,12.64400494377584,6.802394763324312,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.188931532899652,12.455073410876189,"POLYGON ((-73.93130657883266 40.90165451537947, -73.92161598739774 40.89840873713289, -73.9132442779903 40.89079054698883, -73.91322012709296 40.890460356757906, -73.91340279425803 40.89023037851111, -73.91507332260262 40.88887477132265, -73.93130657883266 40.90165451537947))",-0.30510803343901816
480000,3,2.0,2184.207862,40.8890266,-73.9131785,13.081541382884074,7.689008507244378,The Bronx,Co-op for sale,BRONX,CONDO_COOP,-0.027007212177738,13.108548595061812,"POLYGON ((-73.91322012709296 40.890460356757906, -73.91194334167054 40.88915224898793, -73.91327184206483 40.88792498961118, -73.91348103605253 40.88790510270871, -73.91340279425803 40.89023037851111, -73.91322012709296 40.890460356757906))",-0.4646927095293781
859000,6,3.0,2184.207862,40.8340749,-73.9113421,13.663524200966393,7.689008507244378,Bronx County,Multi-family home for sale,BRONX,MULTI_FAMILY,0.171693751652516,13.491830449313875,"POLYGON ((-73.91331022740111 40.831520932963016, -73.9130385585869 40.83416547376422, -73.90494220590159 40.83786490327587, -73.90431519632429 40.83743234189561, -73.90551566225925 40.83284905250487, -73.90770958550304 40.83015592400361, -73.91327366064132 40.83148322207726, -73.91331022740111 40.831520932963016))",-0.024850102743912028
345000,2,1.0,975.0,40.8828679,-73.9112962,12.751299696013495,6.882437470997848,The Bronx,Pending,BRONX,OTHER,0.203030801868829,12.548268894144666,"POLYGON ((-73.91269874348414 40.883362297465204, -73.91209089906381 40.88399466558782, -73.90976391946201 40.88370419560986, -73.90946998019037 40.882762656525685, -73.90952681082517 40.882625418646555, -73.91060299202478 40.88201768405123, -73.91205532687502 40.88160778589075, -73.91229219307907 40.88164591582964, -73.91269874348414 40.883362297465204))",-0.02874513110422111
